id,title,location,disaster_type,severity,narrative,source
32,Earthquake event 32,North Valley,Earthquake,Critical,sudden seismic activity damaged homes and utilities in North Valley during the recent emergency.,Hugging Face dataset export
33,Fire event 33,Coastal Bay,Fire,Low,forest fire spread rapidly across dry hills in Coastal Bay during the recent emergency.,Hugging Face dataset export
34,Storm event 34,Ridge Town,Storm,Medium,severe storm warnings were issued for coastal zones in Ridge Town during the recent emergency.,Hugging Face dataset export
35,Drought event 35,Central Plains,Drought,High,water scarcity threatened communities during drought in Central Plains during the recent emergency.,Hugging Face dataset export
36,Landslide event 36,Hill District,Landslide,Critical,slope failure buried a bridge and cut access in Hill District during the recent emergency.,Hugging Face dataset export
37,Flood event 37,West Delta,Flood,Low,low-lying neighborhoods were inundated after a flood warning in West Delta during the recent emergency.,Hugging Face dataset export
38,Earthquake event 38,Riverbend,Earthquake,Medium,structural damage forced inspections across the region in Riverbend during the recent emergency.,Hugging Face dataset export
39,Fire event 39,Harbor Point,Fire,High,smoke from the wildfire spread across the town in Harbor Point during the recent emergency.,Hugging Face dataset export
40,Storm event 40,Forest Edge,Storm,Critical,cyclonic winds knocked out public utilities in Forest Edge during the recent emergency.,Hugging Face dataset export
41,Drought event 41,Metro City,Drought,Low,drought conditions drained irrigation channels in Metro City during the recent emergency.,Hugging Face dataset export
42,Landslide event 42,North Valley,Landslide,Medium,mudslide swept through a hillside community in North Valley during the recent emergency.,Hugging Face dataset export
43,Flood event 43,Coastal Bay,Flood,High,flash flooding closed schools and highways in Coastal Bay during the recent emergency.,Hugging Face dataset export
44,Earthquake event 44,Ridge Town,Earthquake,Critical,aftershocks caused panic in city districts in Ridge Town during the recent emergency.,Hugging Face dataset export
45,Fire event 45,Central Plains,Fire,Low,blaze spread through a warehouse district in Central Plains during the recent emergency.,Hugging Face dataset export
46,Storm event 46,Hill District,Storm,Medium,strong winds caused widespread outages in the city in Hill District during the recent emergency.,Hugging Face dataset export
47,Drought event 47,West Delta,Drought,High,drought conditions increased wildfire risk in West Delta during the recent emergency.,Hugging Face dataset export
48,Landslide event 48,Riverbend,Landslide,Critical,hillside collapse left families without shelter in Riverbend during the recent emergency.,Hugging Face dataset export
49,Flood event 49,Harbor Point,Flood,Low,heavy rain flooded homes and roads in Harbor Point during the recent emergency.,Hugging Face dataset export
50,Earthquake event 50,Forest Edge,Earthquake,Medium,quake damage knocked down power lines and buildings in Forest Edge during the recent emergency.,Hugging Face dataset export
